proposal_id,investigator_id,investigator_name,career_stage,college_code,college_name,sponsor_id,sponsor_name,sponsor_type,proposal_type,submission_date,submission_month,fiscal_year,requested_amount,proposal_status,award_id,awarded_amount,decision_date,days_to_decision,award_start_date,award_end_date
LP-2023-00529,R0013,Arjun Thomas,Established,BUS,School of Business,S011,Community Wellbeing Trust,Foundation,Research Project,2023-11-23,2023-11,FY24,102700,Not Funded,,0,2024-04-20,149,,
LP-2024-00530,R0029,Rafael Reyes,Established,BUS,School of Business,S004,Advanced Technology Agency,Federal,Internal Seed,2024-05-20,2024-05,FY24,313300,Active,AW2-2024-00530,286500,2024-11-15,179,2024-12-21,2027-12-21
LP-2026-00531,R0045,Leila Martin,Early Career,BUS,School of Business,S010,Global Health Foundation,Foundation,Equipment,2026-05-10,2026-05,FY26,210700,Not Funded,,0,2026-06-17,38,,
LP-2023-00532,R0051,Victor Singh,Established,SOC,College of Social Innovation,S020,Northstar Analytics,Industry,Training Grant,2023-10-19,2023-10,FY24,56200,Withdrawn,,0,2023-12-07,49,,
LP-2023-00533,R0026,Camille Mensah,Established,ENG,College of Engineering,S021,Vertex Mobility Systems,Industry,Research Project,2023-12-15,2023-12,FY24,128500,Not Funded,,0,2024-04-23,130,,
LP-2024-00534,R0073,Arjun Thomas,Early Career,LAW,School of Law and Public Policy,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2024-06-05,2024-06,FY24,550300,Not Funded,,0,2024-07-20,45,,
LP-2024-00535,R0129,Carlos Ito,Established,LAW,School of Law and Public Policy,S002,Natural Sciences Research Council,Federal,Research Project,2024-06-01,2024-06,FY24,52100,Not Funded,,0,2024-09-11,102,,
LP-2023-00536,R0119,Rafael Reyes,Established,HSC,College of Health Sciences,S004,Advanced Technology Agency,Federal,Research Project,2023-10-15,2023-10,FY24,311400,Active,AW2-2023-00536,310900,2024-01-27,104,2024-02-23,2025-02-22
LP-2025-00537,R0132,Samira Kim,Early Career,HUM,College of Humanities,S025,Interdisciplinary Catalyst Fund,Internal,Training Grant,2025-04-06,2025-04,FY25,213400,Active,AW2-2025-00537,201300,2025-06-11,66,2025-07-12,2027-01-03
LP-2024-00538,R0179,Rafael Reyes,Early Career,SOC,College of Social Innovation,S022,Helix Medical Devices,Industry,Internal Seed,2024-02-01,2024-02,FY24,309300,Active,AW2-2024-00538,227700,2024-04-16,75,2024-05-04,2025-10-26
LP-2026-00539,R0178,Lucas Haddad,Established,ENG,College of Engineering,S023,Internal Strategic Research Fund,Internal,Research Project,2026-08-12,2026-08,FY27,165700,Under Review,,0,,,,
LP-2024-00540,R0093,Olivia Costa,Early Career,BUS,School of Business,S020,Northstar Analytics,Industry,Research Project,2024-02-04,2024-02,FY24,74000,Withdrawn,,0,2024-07-04,151,,
LP-2024-00541,R0161,Maya Bennett,Established,LAW,School of Law and Public Policy,S012,Future Cities Foundation,Foundation,Research Project,2024-02-25,2024-02,FY24,154400,Active,AW2-2024-00541,128600,2024-04-23,58,2024-06-01,2025-06-01
LP-2025-00542,R0058,Lucas Haddad,Early Career,ENG,College of Engineering,S006,Department of Public Health,Government,Research Project,2025-01-16,2025-01,FY25,83500,Active,AW2-2025-00542,53700,2025-06-19,154,2025-07-31,2026-07-31
LP-2026-00543,R0068,Theo Yamamoto,Established,HUM,College of Humanities,S006,Department of Public Health,Government,Research Project,2026-07-28,2026-07,FY27,267700,Withdrawn,,0,2026-08-31,34,,
LP-2023-00544,R0009,Carlos Ito,Early Career,LAW,School of Law and Public Policy,S004,Advanced Technology Agency,Federal,Internal Seed,2023-01-20,2023-01,FY23,59600,Closed,AW2-2023-00544,42600,2023-06-22,153,2023-08-16,2026-08-15
LP-2023-00545,R0060,Amina Ahmed,Established,HUM,College of Humanities,S005,National Science Foundation,Federal,Training Grant,2023-04-21,2023-04,FY23,147400,Active,AW2-2023-00545,146800,2023-10-07,169,2023-12-15,2025-12-14
LP-2026-00546,R0129,Carlos Ito,Established,LAW,School of Law and Public Policy,S004,Advanced Technology Agency,Federal,Training Grant,2026-04-21,2026-04,FY26,70000,Active,AW2-2026-00546,46500,2026-08-31,132,2026-10-25,2028-10-24
LP-2026-00547,R0141,Victor Singh,Senior,BUS,School of Business,S006,Department of Public Health,Government,Fellowship,2026-05-28,2026-05,FY26,250600,Not Funded,,0,2026-08-31,95,,
LP-2024-00548,R0077,Zain Gupta,Established,BUS,School of Business,S014,Biomedical Discovery Foundation,Foundation,Research Project,2024-05-02,2024-05,FY24,511300,Not Funded,,0,2024-07-15,74,,
LP-2025-00549,R0067,Nadia Nguyen,Senior,SOC,College of Social Innovation,S020,Northstar Analytics,Industry,Internal Seed,2025-11-22,2025-11,FY26,288200,Not Funded,,0,2026-05-19,178,,
LP-2024-00550,R0085,Sofia Evans,Established,BUS,School of Business,S022,Helix Medical Devices,Industry,Research Project,2024-07-09,2024-07,FY25,233900,Not Funded,,0,2024-11-04,118,,
LP-2026-00551,R0106,Priya Wang,Early Career,ENG,College of Engineering,S004,Advanced Technology Agency,Federal,Equipment,2026-07-26,2026-07,FY27,69700,Under Review,,0,,,,
LP-2024-00552,R0099,Carlos Ito,Senior,SOC,College of Social Innovation,S001,National Health Research Council,Federal,Research Project,2024-04-06,2024-04,FY24,172200,Not Funded,,0,2024-10-03,180,,
LP-2025-00553,R0099,Carlos Ito,Senior,SOC,College of Social Innovation,S020,Northstar Analytics,Industry,Equipment,2025-02-05,2025-02,FY25,329800,Awarded,AW2-2025-00553,207600,2025-07-24,169,2025-09-07,2026-09-07
LP-2025-00554,R0099,Carlos Ito,Senior,SOC,College of Social Innovation,S021,Vertex Mobility Systems,Industry,Research Project,2025-02-07,2025-02,FY25,56700,Not Funded,,0,2025-04-11,63,,
LP-2024-00555,R0123,Olivia Costa,Early Career,SOC,College of Social Innovation,S016,Urban Resilience Network,Nonprofit,Research Project,2024-12-28,2024-12,FY25,35100,Active,AW2-2024-00555,28700,2025-04-12,105,2025-05-03,2028-05-02
LP-2024-00556,R0167,Zain Gupta,Established,HSC,College of Health Sciences,S014,Biomedical Discovery Foundation,Foundation,Internal Seed,2024-07-23,2024-07,FY25,204200,Not Funded,,0,2024-11-30,130,,
LP-2023-00557,R0004,Yara Lee,Established,HUM,College of Humanities,S022,Helix Medical Devices,Industry,Research Project,2023-09-09,2023-09,FY24,157900,Not Funded,,0,2023-11-25,77,,
LP-2026-00558,R0060,Amina Ahmed,Established,HUM,College of Humanities,S007,Department of Energy and Climate,Government,Training Grant,2026-03-30,2026-03,FY26,1514300,Not Funded,,0,2026-07-12,104,,
LP-2025-00559,R0046,Priya Wang,Senior,SCI,College of Science,S025,Interdisciplinary Catalyst Fund,Internal,Internal Seed,2025-09-03,2025-09,FY26,44300,Not Funded,,0,2025-12-11,99,,
LP-2025-00560,R0027,Grace Williams,Early Career,SOC,College of Social Innovation,S010,Global Health Foundation,Foundation,Research Project,2025-05-25,2025-05,FY25,39100,Active,AW2-2025-00560,25700,2025-10-31,159,2025-12-26,2027-12-26
LP-2023-00561,R0146,Camille Mensah,Senior,ENG,College of Engineering,S016,Urban Resilience Network,Nonprofit,Research Project,2023-01-11,2023-01,FY23,295700,Closed,AW2-2023-00561,215400,2023-04-16,95,2023-06-18,2024-12-09
LP-2024-00562,R0084,Mei Tran,Senior,HUM,College of Humanities,S004,Advanced Technology Agency,Federal,Internal Seed,2024-11-22,2024-11,FY25,104600,Not Funded,,0,2025-02-21,91,,
LP-2023-00563,R0104,Gabriel Dubois,Early Career,ARC,College of Architecture and Design,S007,Department of Energy and Climate,Government,Research Project,2023-11-26,2023-11,FY24,80500,Not Funded,,0,2024-05-01,157,,
LP-2024-00564,R0132,Samira Kim,Early Career,HUM,College of Humanities,S008,Ontario Research Fund,Provincial/State,Internal Seed,2024-09-20,2024-09,FY25,225200,Closed,AW2-2024-00564,197500,2024-11-04,45,2025-01-16,2026-01-16
LP-2024-00565,R0095,Daniel Walker,Early Career,HSC,College of Health Sciences,S005,National Science Foundation,Federal,Research Project,2024-09-07,2024-09,FY25,32200,Closed,AW2-2024-00565,23000,2025-02-11,157,2025-03-13,2027-03-13
LP-2025-00566,R0098,Theo Yamamoto,Early Career,ENG,College of Engineering,S011,Community Wellbeing Trust,Foundation,Fellowship,2025-07-02,2025-07,FY26,92600,Awarded,AW2-2025-00566,58300,2025-12-30,181,2026-03-05,2027-03-05
LP-2023-00567,R0080,Noah Johnson,Established,ARC,College of Architecture and Design,S008,Ontario Research Fund,Provincial/State,Research Project,2023-03-02,2023-03,FY23,197600,Active,AW2-2023-00567,123100,2023-05-23,82,2023-07-12,2026-07-11
LP-2024-00568,R0067,Nadia Nguyen,Senior,SOC,College of Social Innovation,S019,Apex Biotechnologies,Industry,Fellowship,2024-01-24,2024-01,FY24,110100,Closed,AW2-2024-00568,80700,2024-06-01,129,2024-08-12,2026-08-12
LP-2025-00569,R0004,Yara Lee,Established,HUM,College of Humanities,S014,Biomedical Discovery Foundation,Foundation,Research Project,2025-06-05,2025-06,FY25,20100,Awarded,AW2-2025-00569,13300,2025-12-11,189,2025-12-30,2027-12-30
LP-2025-00570,R0152,Jonah Smith,Early Career,ARC,College of Architecture and Design,S001,National Health Research Council,Federal,Internal Seed,2025-01-30,2025-01,FY25,469100,Not Funded,,0,2025-05-06,96,,
LP-2023-00571,R0169,Jia Zhou,Established,LAW,School of Law and Public Policy,S014,Biomedical Discovery Foundation,Foundation,Training Grant,2023-12-16,2023-12,FY24,127800,Closed,AW2-2023-00571,86600,2024-06-21,188,2024-08-20,2025-08-20
LP-2024-00572,R0131,Maya Bennett,Established,SOC,College of Social Innovation,S005,National Science Foundation,Federal,Research Project,2024-11-17,2024-11,FY25,283300,Awarded,AW2-2024-00572,213400,2025-03-26,129,2025-06-02,2026-11-24
LP-2023-00573,R0152,Jonah Smith,Early Career,ARC,College of Architecture and Design,S009,Massachusetts Innovation Fund,Provincial/State,Equipment,2023-11-27,2023-11,FY24,40200,Closed,AW2-2023-00573,29700,2024-05-10,165,2024-05-26,2025-11-17
LP-2025-00574,R0118,Lucas Haddad,Senior,SCI,College of Science,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2025-06-09,2025-06,FY25,116500,Active,AW2-2025-00574,115600,2025-08-16,68,2025-09-25,2027-03-19
LP-2025-00575,R0103,Arjun Thomas,Established,HSC,College of Health Sciences,S004,Advanced Technology Agency,Federal,Training Grant,2025-04-08,2025-04,FY25,256300,Active,AW2-2025-00575,251700,2025-07-10,93,2025-09-20,2027-03-14
LP-2024-00576,R0088,Lucas Haddad,Early Career,ARC,College of Architecture and Design,S002,Natural Sciences Research Council,Federal,Research Project,2024-09-16,2024-09,FY25,199800,Active,AW2-2024-00576,126000,2025-02-06,143,2025-02-19,2027-02-19
LP-2024-00577,R0130,Hana Roy,Senior,ENG,College of Engineering,S012,Future Cities Foundation,Foundation,Research Project,2024-07-31,2024-07,FY25,113700,Not Funded,,0,2024-10-16,77,,
LP-2026-00578,R0110,Noah Johnson,Early Career,SCI,College of Science,S004,Advanced Technology Agency,Federal,Research Project,2026-05-05,2026-05,FY26,86300,Awarded,AW2-2026-00578,82100,2026-08-31,118,2026-10-11,2028-10-10
LP-2024-00579,R0095,Daniel Walker,Early Career,HSC,College of Health Sciences,S003,Social Innovation Research Council,Federal,Research Project,2024-02-13,2024-02,FY24,69000,Active,AW2-2024-00579,47600,2024-06-17,125,2024-08-04,2025-08-04
LP-2026-00580,R0126,Jamal Garcia,Established,SCI,College of Science,S020,Northstar Analytics,Industry,Research Project,2026-02-17,2026-02,FY26,159700,Not Funded,,0,2026-04-13,55,,
LP-2024-00581,R0150,Amina Ahmed,Established,SCI,College of Science,S007,Department of Energy and Climate,Government,Equipment,2024-02-29,2024-02,FY24,167500,Active,AW2-2024-00581,166100,2024-08-07,160,2024-09-03,2026-02-25
LP-2023-00582,R0037,Nadia Nguyen,Early Career,BUS,School of Business,S021,Vertex Mobility Systems,Industry,Research Project,2023-07-12,2023-07,FY24,331900,Closed,AW2-2023-00582,226100,2023-11-19,130,2024-01-03,2025-06-26
LP-2023-00583,R0124,Yara Lee,Established,HUM,College of Humanities,S002,Natural Sciences Research Council,Federal,Equipment,2023-03-03,2023-03,FY23,65100,Withdrawn,,0,2023-06-08,97,,
LP-2024-00584,R0149,Rafael Reyes,Early Career,BUS,School of Business,S011,Community Wellbeing Trust,Foundation,Research Project,2024-01-04,2024-01,FY24,99500,Not Funded,,0,2024-04-22,109,,
LP-2023-00585,R0098,Theo Yamamoto,Early Career,ENG,College of Engineering,S008,Ontario Research Fund,Provincial/State,Training Grant,2023-06-26,2023-06,FY23,221500,Closed,AW2-2023-00585,181300,2023-10-11,107,2023-12-18,2025-12-17
LP-2024-00586,R0022,Chloe Chen,Senior,SCI,College of Science,S001,National Health Research Council,Federal,Equipment,2024-10-07,2024-10,FY25,425000,Active,AW2-2024-00586,385300,2025-04-10,185,2025-04-22,2026-04-22
LP-2023-00587,R0112,Chloe Chen,Early Career,ARC,College of Architecture and Design,S007,Department of Energy and Climate,Government,Research Project,2023-08-21,2023-08,FY24,218100,Closed,AW2-2023-00587,179700,2023-11-06,77,2023-12-16,2025-12-15
LP-2024-00588,R0008,Theo Yamamoto,Senior,ARC,College of Architecture and Design,S007,Department of Energy and Climate,Government,Training Grant,2024-12-30,2024-12,FY25,215300,Not Funded,,0,2025-05-05,126,,
LP-2023-00589,R0132,Samira Kim,Early Career,HUM,College of Humanities,S022,Helix Medical Devices,Industry,Research Project,2023-12-27,2023-12,FY24,57400,Not Funded,,0,2024-04-29,124,,
LP-2025-00590,R0074,Gabriel Dubois,Established,ENG,College of Engineering,S009,Massachusetts Innovation Fund,Provincial/State,Research Project,2025-08-20,2025-08,FY26,48400,Active,AW2-2025-00590,32500,2025-12-21,123,2026-02-14,2028-02-14
LP-2024-00591,R0104,Gabriel Dubois,Early Career,ARC,College of Architecture and Design,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2024-02-18,2024-02,FY24,66800,Closed,AW2-2024-00591,53300,2024-04-25,67,2024-06-29,2026-06-29
LP-2026-00592,R0035,Daniel Walker,Established,SOC,College of Social Innovation,S012,Future Cities Foundation,Foundation,Training Grant,2026-05-06,2026-05,FY26,358500,Active,AW2-2026-00592,278800,2026-08-22,108,2026-10-09,2027-10-09
LP-2023-00593,R0122,Jonah Smith,Established,ENG,College of Engineering,S017,International Research Consortium,International,Fellowship,2023-09-28,2023-09,FY24,589400,Closed,AW2-2023-00593,413400,2023-12-22,85,2024-01-23,2026-01-22
LP-2024-00594,R0145,Sofia Evans,Senior,LAW,School of Law and Public Policy,S012,Future Cities Foundation,Foundation,Research Project,2024-09-17,2024-09,FY25,181200,Not Funded,,0,2025-03-25,189,,
LP-2025-00595,R0119,Rafael Reyes,Established,HSC,College of Health Sciences,S005,National Science Foundation,Federal,Research Project,2025-04-12,2025-04,FY25,51900,Active,AW2-2025-00595,33700,2025-09-14,155,2025-10-07,2027-10-07
LP-2025-00596,R0051,Victor Singh,Established,SOC,College of Social Innovation,S017,International Research Consortium,International,Fellowship,2025-07-28,2025-07,FY26,301100,Not Funded,,0,2025-09-14,48,,
LP-2023-00597,R0027,Grace Williams,Early Career,SOC,College of Social Innovation,S023,Internal Strategic Research Fund,Internal,Research Project,2023-10-09,2023-10,FY24,164300,Not Funded,,0,2023-12-25,77,,
LP-2023-00598,R0002,Jonah Smith,Early Career,ENG,College of Engineering,S018,Global Development Partnership,International,Research Project,2023-10-07,2023-10,FY24,185500,Closed,AW2-2023-00598,185400,2024-03-24,169,2024-05-20,2027-05-20
LP-2026-00599,R0067,Nadia Nguyen,Senior,SOC,College of Social Innovation,S014,Biomedical Discovery Foundation,Foundation,Research Project,2026-03-10,2026-03,FY26,72300,Not Funded,,0,2026-07-08,120,,
LP-2023-00600,R0010,Hana Roy,Early Career,ENG,College of Engineering,S014,Biomedical Discovery Foundation,Foundation,Training Grant,2023-03-14,2023-03,FY23,32200,Active,AW2-2023-00600,26400,2023-07-26,134,2023-08-12,2024-08-11
LP-2023-00601,R0053,Isabelle Laurent,Early Career,BUS,School of Business,S005,National Science Foundation,Federal,Fellowship,2023-09-15,2023-09,FY24,111900,Closed,AW2-2023-00601,110000,2024-03-04,171,2024-04-23,2026-04-23
LP-2024-00602,R0031,Fatima Khan,Established,HSC,College of Health Sciences,S025,Interdisciplinary Catalyst Fund,Internal,Training Grant,2024-03-22,2024-03,FY24,652400,Closed,AW2-2024-00602,445100,2024-09-17,179,2024-10-08,2027-10-08
LP-2024-00603,R0039,Carlos Ito,Senior,HSC,College of Health Sciences,S006,Department of Public Health,Government,Training Grant,2024-03-03,2024-03,FY24,345400,Not Funded,,0,2024-04-29,57,,
LP-2024-00604,R0159,Carlos Ito,Early Career,HSC,College of Health Sciences,S005,National Science Foundation,Federal,Research Project,2024-11-20,2024-11,FY25,272900,Not Funded,,0,2025-02-22,94,,
LP-2024-00605,R0137,Zain Gupta,Established,LAW,School of Law and Public Policy,S011,Community Wellbeing Trust,Foundation,Fellowship,2024-03-25,2024-03,FY24,98100,Not Funded,,0,2024-06-08,75,,
LP-2023-00606,R0170,Noah Johnson,Established,ENG,College of Engineering,S015,Civic Data Collaborative,Nonprofit,Research Project,2023-01-29,2023-01,FY23,34600,Not Funded,,0,2023-03-30,60,,
LP-2025-00607,R0049,Jia Zhou,Senior,LAW,School of Law and Public Policy,S019,Apex Biotechnologies,Industry,Research Project,2025-02-22,2025-02,FY25,814500,Not Funded,,0,2025-06-17,115,,
LP-2023-00608,R0023,Isabelle Laurent,Established,HSC,College of Health Sciences,S004,Advanced Technology Agency,Federal,Research Project,2023-08-09,2023-08,FY24,87100,Closed,AW2-2023-00608,68100,2024-01-05,149,2024-02-03,2025-07-27
LP-2023-00609,R0102,Samira Kim,Established,SCI,College of Science,S023,Internal Strategic Research Fund,Internal,Research Project,2023-07-14,2023-07,FY24,123800,Closed,AW2-2023-00609,84400,2023-12-30,169,2024-02-12,2026-02-11
LP-2025-00610,R0124,Yara Lee,Established,HUM,College of Humanities,S024,Faculty Seed Grant Program,Internal,Research Project,2025-11-01,2025-11,FY26,249300,Not Funded,,0,2026-01-10,70,,
LP-2023-00611,R0011,Maya Bennett,Early Career,SOC,College of Social Innovation,S002,Natural Sciences Research Council,Federal,Research Project,2023-12-27,2023-12,FY24,144900,Closed,AW2-2023-00611,115700,2024-02-11,46,2024-03-21,2025-03-21
LP-2024-00612,R0133,Arjun Thomas,Early Career,BUS,School of Business,S012,Future Cities Foundation,Foundation,Fellowship,2024-11-03,2024-11,FY25,164400,Not Funded,,0,2025-01-01,59,,
LP-2023-00613,R0164,Gabriel Dubois,Senior,HUM,College of Humanities,S020,Northstar Analytics,Industry,Equipment,2023-02-26,2023-02,FY23,31400,Closed,AW2-2023-00613,26700,2023-06-29,123,2023-08-17,2025-02-07
LP-2023-00614,R0008,Theo Yamamoto,Senior,ARC,College of Architecture and Design,S020,Northstar Analytics,Industry,Fellowship,2023-10-18,2023-10,FY24,34100,Closed,AW2-2023-00614,24600,2023-12-23,66,2024-02-07,2026-02-06
LP-2023-00615,R0098,Theo Yamamoto,Early Career,ENG,College of Engineering,S018,Global Development Partnership,International,Research Project,2023-01-24,2023-01,FY23,50400,Closed,AW2-2023-00615,37300,2023-03-08,43,2023-05-03,2026-05-02
LP-2025-00616,R0151,Fatima Khan,Early Career,HSC,College of Health Sciences,S001,National Health Research Council,Federal,Research Project,2025-08-28,2025-08,FY26,24400,Not Funded,,0,2026-01-19,144,,
LP-2026-00617,R0045,Leila Martin,Early Career,BUS,School of Business,S012,Future Cities Foundation,Foundation,Research Project,2026-07-26,2026-07,FY27,294900,Under Review,,0,,,,
LP-2024-00618,R0107,Zain Gupta,Early Career,SOC,College of Social Innovation,S009,Massachusetts Innovation Fund,Provincial/State,Research Project,2024-05-13,2024-05,FY24,73100,Active,AW2-2024-00618,70000,2024-06-22,40,2024-08-28,2025-08-28
LP-2023-00619,R0170,Noah Johnson,Established,ENG,College of Engineering,S014,Biomedical Discovery Foundation,Foundation,Internal Seed,2023-05-13,2023-05,FY23,73200,Not Funded,,0,2023-11-17,188,,
LP-2025-00620,R0135,Leila Martin,Established,HSC,College of Health Sciences,S024,Faculty Seed Grant Program,Internal,Training Grant,2025-11-26,2025-11,FY26,912400,Active,AW2-2025-00620,688300,2026-05-18,173,2026-07-08,2029-07-07
LP-2026-00621,R0030,Amina Ahmed,Established,SCI,College of Science,S010,Global Health Foundation,Foundation,Research Project,2026-06-12,2026-06,FY26,118000,Active,AW2-2026-00621,105000,2026-08-31,80,2026-09-28,2028-03-21
LP-2024-00622,R0167,Zain Gupta,Established,HSC,College of Health Sciences,S003,Social Innovation Research Council,Federal,Training Grant,2024-12-31,2024-12,FY25,265200,Active,AW2-2024-00622,219200,2025-03-02,61,2025-04-28,2026-04-28
LP-2024-00623,R0083,Isabelle Laurent,Established,SOC,College of Social Innovation,S025,Interdisciplinary Catalyst Fund,Internal,Fellowship,2024-06-08,2024-06,FY24,154600,Not Funded,,0,2024-10-11,125,,
LP-2024-00624,R0030,Amina Ahmed,Established,SCI,College of Science,S004,Advanced Technology Agency,Federal,Research Project,2024-02-22,2024-02,FY24,260000,Closed,AW2-2024-00624,163900,2024-04-19,57,2024-05-23,2025-05-23
LP-2024-00625,R0073,Arjun Thomas,Early Career,LAW,School of Law and Public Policy,S009,Massachusetts Innovation Fund,Provincial/State,Research Project,2024-03-05,2024-03,FY24,74500,Not Funded,,0,2024-09-08,187,,
LP-2023-00626,R0136,Priya Wang,Senior,ARC,College of Architecture and Design,S016,Urban Resilience Network,Nonprofit,Equipment,2023-12-27,2023-12,FY24,120200,Not Funded,,0,2024-06-09,165,,
LP-2024-00627,R0101,Maya Bennett,Established,BUS,School of Business,S001,National Health Research Council,Federal,Fellowship,2024-08-17,2024-08,FY25,122100,Closed,AW2-2024-00627,104500,2025-02-20,187,2025-03-08,2026-08-30
LP-2023-00628,R0013,Arjun Thomas,Established,BUS,School of Business,S015,Civic Data Collaborative,Nonprofit,Research Project,2023-09-14,2023-09,FY24,371500,Active,AW2-2023-00628,347600,2024-03-09,177,2024-05-12,2026-05-12
LP-2025-00629,R0083,Isabelle Laurent,Established,SOC,College of Social Innovation,S002,Natural Sciences Research Council,Federal,Research Project,2025-10-16,2025-10,FY26,109400,Not Funded,,0,2026-03-11,146,,
LP-2026-00630,R0060,Amina Ahmed,Established,HUM,College of Humanities,S001,National Health Research Council,Federal,Research Project,2026-07-15,2026-07,FY27,38300,Not Funded,,0,2026-08-31,47,,
LP-2026-00631,R0084,Mei Tran,Senior,HUM,College of Humanities,S005,National Science Foundation,Federal,Training Grant,2026-03-31,2026-03,FY26,44200,Active,AW2-2026-00631,29800,2026-06-03,64,2026-07-24,2028-01-15
LP-2025-00632,R0068,Theo Yamamoto,Established,HUM,College of Humanities,S019,Apex Biotechnologies,Industry,Research Project,2025-02-10,2025-02,FY25,92500,Active,AW2-2025-00632,80700,2025-06-28,138,2025-08-11,2028-08-10
LP-2023-00633,R0006,Jamal Garcia,Established,SCI,College of Science,S020,Northstar Analytics,Industry,Equipment,2023-09-24,2023-09,FY24,147400,Withdrawn,,0,2024-02-17,146,,
LP-2024-00634,R0006,Jamal Garcia,Established,SCI,College of Science,S005,National Science Foundation,Federal,Research Project,2024-09-07,2024-09,FY25,384700,Closed,AW2-2024-00634,332200,2025-01-28,143,2025-02-19,2027-02-19
LP-2025-00635,R0002,Jonah Smith,Early Career,ENG,College of Engineering,S024,Faculty Seed Grant Program,Internal,Research Project,2025-03-15,2025-03,FY25,350800,Not Funded,,0,2025-05-04,50,,
LP-2023-00636,R0134,Gabriel Dubois,Early Career,SCI,College of Science,S017,International Research Consortium,International,Research Project,2023-12-08,2023-12,FY24,25700,Closed,AW2-2023-00636,24700,2024-04-15,129,2024-06-20,2026-06-20
LP-2026-00637,R0009,Carlos Ito,Early Career,LAW,School of Law and Public Policy,S014,Biomedical Discovery Foundation,Foundation,Research Project,2026-01-24,2026-01,FY26,60900,Awarded,AW2-2026-00637,50700,2026-05-22,118,2026-07-26,2028-01-17
LP-2023-00638,R0051,Victor Singh,Established,SOC,College of Social Innovation,S023,Internal Strategic Research Fund,Internal,Research Project,2023-12-31,2023-12,FY24,26300,Withdrawn,,0,2024-02-20,51,,
LP-2026-00639,R0104,Gabriel Dubois,Early Career,ARC,College of Architecture and Design,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2026-08-03,2026-08,FY27,107800,Submitted,,0,,,,
LP-2023-00640,R0171,Victor Singh,Early Career,SOC,College of Social Innovation,S006,Department of Public Health,Government,Research Project,2023-05-13,2023-05,FY23,92800,Not Funded,,0,2023-06-28,46,,
LP-2024-00641,R0127,Nadia Nguyen,Senior,HSC,College of Health Sciences,S015,Civic Data Collaborative,Nonprofit,Research Project,2024-09-06,2024-09,FY25,88900,Closed,AW2-2024-00641,78400,2025-02-25,172,2025-04-01,2026-09-23
LP-2026-00642,R0094,Yara Lee,Established,SCI,College of Science,S001,National Health Research Council,Federal,Research Project,2026-07-31,2026-07,FY27,46500,Under Review,,0,,,,
LP-2024-00643,R0132,Samira Kim,Early Career,HUM,College of Humanities,S006,Department of Public Health,Government,Internal Seed,2024-12-03,2024-12,FY25,339000,Not Funded,,0,2025-03-26,113,,
LP-2025-00644,R0111,Victor Singh,Senior,HSC,College of Health Sciences,S020,Northstar Analytics,Industry,Research Project,2025-03-25,2025-03,FY25,113200,Active,AW2-2025-00644,89600,2025-09-02,161,2025-10-13,2027-10-13
LP-2023-00645,R0099,Carlos Ito,Senior,SOC,College of Social Innovation,S006,Department of Public Health,Government,Training Grant,2023-08-17,2023-08,FY24,81100,Not Funded,,0,2024-01-13,149,,
LP-2025-00646,R0055,Sofia Evans,Early Career,HSC,College of Health Sciences,S023,Internal Strategic Research Fund,Internal,Research Project,2025-02-05,2025-02,FY25,222900,Active,AW2-2025-00646,183800,2025-07-28,173,2025-09-28,2026-09-28
LP-2026-00647,R0022,Chloe Chen,Senior,SCI,College of Science,S010,Global Health Foundation,Foundation,Fellowship,2026-06-29,2026-06,FY26,190500,Awarded,AW2-2026-00647,170000,2026-08-31,63,2026-10-21,2028-10-20
LP-2024-00648,R0124,Yara Lee,Established,HUM,College of Humanities,S021,Vertex Mobility Systems,Industry,Fellowship,2024-08-07,2024-08,FY25,143700,Not Funded,,0,2024-10-13,67,,
LP-2023-00649,R0081,Victor Singh,Established,LAW,School of Law and Public Policy,S010,Global Health Foundation,Foundation,Research Project,2023-12-21,2023-12,FY24,117000,Active,AW2-2023-00649,89600,2024-05-12,143,2024-06-03,2025-11-25
LP-2023-00650,R0135,Leila Martin,Established,HSC,College of Health Sciences,S012,Future Cities Foundation,Foundation,Research Project,2023-12-19,2023-12,FY24,270800,Not Funded,,0,2024-04-14,117,,
LP-2025-00651,R0134,Gabriel Dubois,Early Career,SCI,College of Science,S015,Civic Data Collaborative,Nonprofit,Internal Seed,2025-11-04,2025-11,FY26,164700,Not Funded,,0,2026-04-28,175,,
LP-2025-00652,R0154,Yara Lee,Senior,ENG,College of Engineering,S022,Helix Medical Devices,Industry,Research Project,2025-08-11,2025-08,FY26,287800,Withdrawn,,0,2025-10-14,64,,
LP-2024-00653,R0002,Jonah Smith,Early Career,ENG,College of Engineering,S017,International Research Consortium,International,Research Project,2024-04-17,2024-04,FY24,118200,Active,AW2-2024-00653,83700,2024-07-17,91,2024-09-17,2026-09-17
LP-2023-00654,R0021,Victor Singh,Established,BUS,School of Business,S016,Urban Resilience Network,Nonprofit,Research Project,2023-03-03,2023-03,FY23,113100,Not Funded,,0,2023-06-23,112,,
